"Date","Price","Open","High","Low","Vol.","Change %"
"10/23/2025","81.2600","81.6600","82.5000","80.7000","","-0.29%"
"10/22/2025","81.5000","81.2100","82.0000","81.2100","","0.15%"
"10/21/2025","81.3750","80.8100","81.4600","80.5500","","0.65%"
"10/20/2025","80.8500","81.3600","81.5000","80.7100","","-0.40%"
"10/17/2025","81.1750","80.0100","81.8000","79.9100","","1.46%"
"10/16/2025","80.0100","78.5100","81.0500","78.2600","","1.73%"
"10/15/2025","78.6500","79.8100","79.8100","78.2500","","-1.07%"
"10/14/2025","79.5000","80.2100","80.7500","78.8750","","-2.03%"
"10/13/2025","81.1500","81.2600","81.7000","80.3750","","-0.58%"
"10/10/2025","81.6250","81.5100","82.5000","81.1000","","0.55%"
"10/09/2025","81.1750","81.5100","82.0000","80.9600","","-0.41%"
"10/08/2025","81.5100","82.0100","82.6250","81.0000","","-0.69%"
"10/07/2025","82.0750","82.7100","82.7500","80.3100","","-1.11%"
"10/06/2025","83.0000","82.2100","83.4250","82.2100","","0.91%"
"10/03/2025","82.2500","81.1600","82.6500","81.1600","","-0.36%"
"10/02/2025","82.5500","81.2600","82.5500","80.7100","","0.06%"
"10/01/2025","82.5000","82.4600","82.5000","81.0100","","-0.48%"
"09/30/2025","82.9000","82.5600","83.3000","82.3500","","-0.21%"
"09/29/2025","83.0750","83.2100","83.6000","82.6600","","-0.36%"
"09/26/2025","83.3750","83.7100","84.2500","83.3250","","-0.68%"
"09/25/2025","83.9500","83.5100","84.0750","83.4600","","0.24%"
"09/24/2025","83.7500","83.5600","83.9500","83.4100","","0.12%"
"09/23/2025","83.6500","83.6600","83.8750","83.1600","","0.03%"
"09/22/2025","83.6250","83.6100","84.0500","83.4100","","0.15%"
"09/19/2025","83.5000","83.1100","84.0000","83.1100","","0.30%"
"09/18/2025","83.2500","83.0100","84.0000","82.8100","","-0.89%"
"09/17/2025","84.0000","82.7100","84.0000","82.6250","","0.96%"
"09/16/2025","83.2000","82.8100","83.2500","82.2100","","0.24%"
"09/15/2025","83.0000","83.8600","83.8600","82.3500","","-1.19%"
"09/12/2025","84.0000","85.0100","85.2500","82.5000","","-0.59%"
"09/11/2025","84.5000","85.0100","85.9250","84.5000","","0.00%"
"09/10/2025","84.5000","84.0100","85.2500","83.8600","","0.96%"
"09/09/2025","83.7000","82.6600","83.8500","82.6600","","1.49%"
"09/08/2025","82.4750","81.3100","82.8000","81.3100","","1.51%"
"09/05/2025","81.2500","81.1600","81.5100","81.1250","","-0.06%"
"09/04/2025","81.3000","80.8100","81.4250","80.6100","","0.37%"
"09/03/2025","81.0000","80.5600","81.0000","80.4000","","0.56%"
"09/02/2025","80.5500","80.3600","80.6600","80.3100","","-0.03%"
"09/01/2025","80.5750","80.0000","81.0000","80.0000","","0.84%"
"08/29/2025","79.9000","80.3100","80.6500","79.9000","","-0.51%"
"08/28/2025","80.3100","80.3100","80.5000","79.7500","","-0.05%"
"08/27/2025","80.3500","80.4100","80.9500","80.1000","","-0.19%"
"08/26/2025","80.5000","80.3100","80.6000","80.0500","","-0.25%"
"08/25/2025","80.7000","80.7100","80.8500","80.4100","","0.19%"
"08/22/2025","80.5500","80.2600","80.9600","80.2600","","-0.03%"
"08/21/2025","80.5750","80.1100","80.6000","80.1100","","0.09%"
"08/20/2025","80.5000","80.3600","80.8000","80.1100","","-0.34%"
"08/19/2025","80.7750","80.2600","80.7750","80.2100","","0.64%"
"08/18/2025","80.2600","79.8600","80.5000","79.8600","","0.14%"
"08/15/2025","80.1500","79.7600","80.3000","79.7500","","0.50%"
"08/14/2025","79.7500","79.7100","79.9000","79.1600","","0.38%"
"08/13/2025","79.4500","79.9100","79.9600","79.2000","","0.00%"
"08/12/2025","79.4500","79.8600","80.1300","79.4500","","-0.06%"
"08/11/2025","79.5000","79.8100","80.1300","79.4600","","-0.63%"
"08/08/2025","80.0000","79.2600","80.1000","79.2600","","0.95%"
"08/07/2025","79.2500","80.1100","80.1100","79.1500","","-0.94%"
"08/06/2025","80.0000","80.0000","80.3250","79.9750","","0.00%"
"08/05/2025","80.0000","79.7500","80.3000","79.7100","","0.22%"
"08/04/2025","79.8250","80.0100","80.0100","79.6100","","-0.22%"
"08/01/2025","80.0000","80.1600","81.1500","80.0000","","-1.36%"
"07/31/2025","81.1000","81.0100","81.6000","79.7100","","0.11%"
"07/30/2025","81.0100","81.2500","82.3500","80.4500","","-0.11%"
"07/29/2025","81.1000","81.2100","82.6000","81.0100","","-0.31%"
"07/28/2025","81.3500","79.4100","81.3500","79.3000","","2.44%"
"07/25/2025","79.4100","80.0000","80.0000","79.2000","","0.20%"
"07/24/2025","79.2500","78.5100","79.6000","78.2500","","1.08%"
"07/23/2025","78.4000","78.4100","78.6500","78.2500","","-0.13%"
"07/22/2025","78.5000","78.3100","78.5100","77.9500","","0.38%"
"07/21/2025","78.2000","78.7100","78.7100","78.1500","","-0.65%"
"07/18/2025","78.7100","78.0500","78.7100","78.0000","","0.85%"
"07/17/2025","78.0500","78.0000","78.7100","78.0000","","-0.40%"
"07/16/2025","78.3600","78.0000","78.5000","78.0000","","0.37%"
"07/15/2025","78.0750","78.0000","78.2500","77.6000","","-0.03%"
"07/14/2025","78.1000","77.9600","78.7500","77.7000","","0.18%"
"07/11/2025","77.9600","76.7250","78.0000","77.4000","","0.53%"
"07/10/2025","77.5500","78.1600","78.2500","77.5500","","-0.78%"
"07/09/2025","78.1600","78.2100","78.3500","78.0000","","-0.43%"
"07/08/2025","78.5000","78.7100","78.7100","78.1600","","-0.25%"
"07/07/2025","78.7000","78.7500","79.0750","78.5250","","-0.06%"
"07/04/2025","78.7500","79.3000","79.3000","78.0100","","-0.41%"
"07/03/2025","79.0750","78.7600","79.0750","78.6100","","0.19%"
"07/02/2025","78.9250","78.4100","78.9250","78.4100","","0.54%"
"07/01/2025","78.5000","78.2600","78.6500","78.2000","","0.38%"
"06/30/2025","78.2000","78.6100","78.7000","78.2000","","-0.38%"
"06/27/2025","78.5000","77.8750","78.7500","77.8750","","-0.32%"
"06/26/2025","78.7500","78.1600","79.0000","78.1600","","0.64%"
"06/25/2025","78.2500","78.1250","78.5000","77.8500","","-0.16%"
"06/24/2025","78.3750","78.1100","78.8750","78.1100","","-0.16%"
"06/23/2025","78.5000","78.4600","78.7500","78.1000","","0.00%"
"06/20/2025","78.5000","78.0000","78.5600","78.0000","","0.16%"
"06/19/2025","78.3750","78.4600","78.6250","78.0000","","-0.16%"
"06/18/2025","78.5000","78.3100","79.1000","78.2100","","0.00%"
"06/17/2025","78.5000","78.7500","79.2000","78.3500","","-0.16%"
"06/16/2025","78.6250","79.7100","79.7100","78.3750","","-1.36%"
"06/13/2025","79.7100","79.8100","79.8250","79.2250","","-0.36%"
"06/12/2025","80.0000","79.1100","80.6250","79.0100","","0.63%"
"06/11/2025","79.5000","78.5100","79.6250","78.1100","","1.31%"
"06/10/2025","78.4750","78.9100","79.0250","78.4250","","-0.66%"
"06/09/2025","79.0000","78.9600","79.3100","78.5500","","0.19%"
"06/06/2025","78.8500","78.3750","79.6000","77.3500","","2.07%"
"06/05/2025","77.2500","79.3000","79.8500","77.2500","","-2.52%"
"06/04/2025","79.2500","78.7600","79.2500","78.3100","","0.35%"
"06/03/2025","78.9750","78.9500","79.2500","78.4250","","-0.35%"
"06/02/2025","79.2500","78.5100","79.5750","78.5100","","2.26%"
"05/30/2025","77.5000","78.8100","79.1250","77.0000","","0.78%"
"05/29/2025","76.9000","79.5100","79.7500","76.9000","","-3.72%"
"05/28/2025","79.8750","80.1100","80.5000","79.3100","","-0.47%"
"05/27/2025","80.2500","79.7600","80.2500","79.7100","","0.61%"
"05/26/2025","79.7600","79.8100","79.8600","79.5000","","0.33%"
"05/23/2025","79.5000","79.6100","80.0100","79.3500","","-0.22%"
"05/22/2025","79.6750","79.8100","80.0750","79.3250","","-0.09%"
"05/21/2025","79.7500","80.7600","80.7600","79.7500","","-1.09%"
"05/20/2025","80.6250","80.1100","80.8600","79.5000","","-0.15%"
"05/19/2025","80.7500","80.9100","81.0100","79.7500","","-0.31%"
"05/16/2025","81.0000","80.3600","81.0000","80.3600","","1.25%"
"05/15/2025","80.0000","80.4600","80.5750","79.8750","","-0.47%"
"05/14/2025","80.3750","80.5100","80.6250","80.0000","","0.66%"
"05/13/2025","79.8500","80.8100","80.8100","79.3750","","-1.42%"
"05/12/2025","81.0000","82.4100","82.5100","80.5000","","-1.82%"
"05/09/2025","82.5000","83.0000","84.6250","82.2500","","0.11%"
"05/08/2025","82.4100","81.1100","82.8750","81.1100","","2.21%"
"05/07/2025","80.6250","81.0000","81.5000","80.5000","","-1.07%"
"05/06/2025","81.5000","81.0100","83.0000","80.2500","","0.23%"
"05/05/2025","81.3100","82.8600","82.8750","80.5000","","-1.74%"
"05/02/2025","82.7500","81.3100","83.0000","81.3100","","0.91%"
"05/01/2025","82.0000","82.0000","82.0000","82.0000","","0.00%"
"04/30/2025","82.0000","81.8100","82.0100","81.1100","","0.00%"
"04/29/2025","82.0000","82.3100","82.4100","80.8750","","-0.79%"
"04/28/2025","82.6500","82.6100","83.0500","82.1750","","0.03%"
"04/25/2025","82.6250","82.6600","83.3500","82.4450","","-0.69%"
"04/24/2025","83.2000","82.9100","83.5500","82.0000","","0.24%"
"04/23/2025","83.0000","81.4100","84.1000","81.4100","","1.81%"
"04/22/2025","81.5250","81.0100","81.7250","80.5000","","0.65%"
"04/21/2025","81.0000","81.8100","81.8100","80.3600","","-1.34%"
"04/18/2025","82.1000","81.5100","82.1100","80.6100","","-0.09%"
"04/17/2025","82.1705","82.8600","82.9250","81.6600","","-0.99%"
"04/16/2025","82.9955","82.5100","83.7500","82.0750","","-0.66%"
"04/15/2025","83.5455","82.2600","83.5750","81.8100","","1.58%"
"04/14/2025","82.2500","83.3600","84.0000","82.1500","","-1.20%"
"04/11/2025","83.2455","84.0100","85.0000","83.2500","","-0.30%"
"04/10/2025","83.4955","85.7100","87.5000","82.5000","","-3.08%"
"04/09/2025","86.1455","85.7100","87.1000","85.5750","","0.35%"
"04/08/2025","85.8455","86.0100","86.1000","85.2100","","-0.35%"
"04/07/2025","86.1455","84.8600","86.5100","84.8600","","1.95%"
"04/04/2025","84.4955","84.0600","85.7500","83.9000","","0.47%"
"04/03/2025","84.0967","84.3600","84.7100","83.9100","","-0.18%"
"04/02/2025","84.2455","84.3100","85.0000","83.8750","","-0.30%"
"04/01/2025","84.4955","84.5100","85.2500","84.3250","","1.81%"
"03/31/2025","82.9955","83.8600","86.5000","83.0000","","-2.30%"
"03/28/2025","84.9455","83.5600","85.7000","83.3750","","0.53%"
"03/27/2025","84.4955","83.9600","85.0000","83.5000","","0.51%"
"03/26/2025","84.0705","83.6600","84.6500","83.6600","","-0.65%"
"03/25/2025","84.6205","83.5000","84.7500","83.5000","","0.89%"
"03/24/2025","83.8705","84.0000","84.5000","83.5000","","-0.74%"
"03/21/2025","84.4955","82.7500","84.8750","82.7500","","-0.50%"
"03/20/2025","84.9205","83.7600","85.7500","83.5000","","1.10%"
"03/19/2025","83.9955","81.9100","84.2500","81.9100","","2.75%"
"03/18/2025","81.7455","83.0100","84.1000","81.0100","","-2.04%"
"03/17/2025","83.4455","85.5100","85.8600","83.2000","","-2.40%"
"03/14/2025","85.4955","86.0100","87.0000","85.3500","","-0.87%"
"03/13/2025","86.2455","86.8600","87.0750","83.3750","","-1.03%"
"03/12/2025","87.1455","85.8600","87.2500","85.5000","","1.78%"
"03/11/2025","85.6205","88.9100","88.9100","85.1250","","-2.28%"
"03/10/2025","87.6205","88.8250","88.8250","87.5000","","-2.64%"
"03/07/2025","89.9955","89.2600","89.4600","88.7500","","1.12%"
"03/06/2025","88.9955","89.7100","90.3000","89.0000","","-1.55%"
"03/05/2025","90.3955","89.5100","90.4000","89.1100","","0.72%"
"03/04/2025","89.7455","89.7600","89.7600","88.9750","","0.06%"
"03/03/2025","89.6955","89.5100","90.0500","88.8100","","0.36%"
"02/28/2025","89.3705","87.5100","89.5000","87.5100","","1.91%"
"02/27/2025","87.6955","87.0100","88.3100","86.6750","","1.01%"
"02/26/2025","86.8205","86.2100","87.0100","85.3750","","0.26%"
"02/25/2025","86.5955","88.0100","88.0100","86.2000","","-1.31%"
"02/24/2025","87.7455","89.3100","89.3100","87.7500","","-0.85%"
"02/21/2025","88.4955","88.0100","89.4000","87.3000","","-0.20%"
"02/20/2025","88.6705","89.5100","89.5100","87.8750","","-1.06%"
"02/19/2025","89.6205","91.4600","91.5600","87.7500","","-2.10%"
"02/18/2025","91.5455","91.6600","92.3750","90.9100","","0.05%"
"02/17/2025","91.4955","92.0100","92.3250","90.7500","","0.41%"
"02/14/2025","91.1205","90.8100","92.2500","89.4000","","1.82%"
"02/13/2025","89.4955","93.0100","93.1000","89.0000","","-4.79%"
"02/12/2025","93.9955","96.1100","96.5000","93.1000","","-2.59%"
"02/11/2025","96.4955","97.2600","97.2600","95.6250","","-0.13%"
"02/10/2025","96.6205","97.3100","98.0750","96.6250","","-0.39%"
"02/07/2025","96.9955","97.0100","97.9000","96.8100","","0.26%"
"02/06/2025","96.7455","97.5100","97.7000","96.4750","","-1.28%"
"02/05/2025","97.9955","99.5100","99.8100","97.3750","","-2.68%"
"02/04/2025","100.6955","99.7500","100.7000","98.8100","","0.95%"
"02/03/2025","99.7455","98.5100","100.3750","98.5100","","1.19%"
"01/31/2025","98.5705","97.8600","98.8750","97.6100","","0.08%"
"01/30/2025","98.4955","98.3100","98.7600","97.4750","","-0.76%"
"01/29/2025","99.2455","98.1100","99.8750","97.7100","","1.28%"
"01/28/2025","97.9955","97.0100","98.6750","97.0100","","0.64%"
"01/27/2025","97.3705","97.9100","98.4100","96.6100","","-0.43%"
"01/24/2025","97.7955","98.6100","99.5000","97.7500","","-2.08%"
"01/23/2025","99.8705","99.1100","100.3750","98.5000","","0.63%"
"01/22/2025","99.2455","99.5100","99.5100","96.0000","","-0.25%"
"01/21/2025","99.4955","101.5100","101.8600","99.2500","","-1.49%"
"01/20/2025","100.9955","102.2100","102.4500","101.0000","","-1.46%"
"01/17/2025","102.4955","102.4600","103.3250","101.5000","","0.04%"
"01/16/2025","102.4500","102.9100","103.6250","102.3250","","-0.04%"
"01/15/2025","102.4955","102.7100","103.5000","102.0000","","-0.20%"
"01/14/2025","102.7000","102.9100","103.5000","101.2000","","-0.04%"
"01/13/2025","102.7455","101.5600","103.0500","101.5600","","0.98%"
"01/10/2025","101.7455","102.1600","102.7500","101.2000","","-0.49%"
"01/09/2025","102.2455","104.5100","104.5100","101.6250","","-2.15%"
"01/08/2025","104.4955","106.5100","107.0100","104.3750","","-2.56%"
"01/07/2025","107.2455","106.5000","107.2500","106.5000","","-0.23%"
"01/06/2025","107.4955","109.5100","109.5100","106.4100","","-2.72%"
"01/03/2025","110.4955","110.5000","112.0000","110.5000","","-0.45%"
"01/02/2025","110.9955","110.0000","115.0000","110.0000","","-2.20%"
"01/01/2025","113.4955","113.4955","113.4955","113.4955","","0.00%"
"12/31/2024","113.4955","105.0100","113.5000","105.0100","","2.72%"
"12/30/2024","110.4955","104.0100","111.0000","103.7100","","4.49%"
"12/27/2024","105.7455","100.0100","107.0000","99.7100","","5.75%"
"12/26/2024","100.0000","99.5100","100.3100","98.9600","","0.50%"
"12/25/2024","99.5000","99.8600","100.2100","99.4100","","-0.50%"
"12/24/2024","99.9955","101.0100","101.0100","99.5000","","-1.21%"
"12/23/2024","101.2205","102.7100","103.0100","99.8750","","-1.72%"
"12/20/2024","102.9955","103.5000","104.2500","102.0600","","-0.48%"
"12/19/2024","103.4955","103.2100","104.2100","101.5000","","-1.12%"
"12/18/2024","104.6705","103.5100","105.4250","102.3000","","0.07%"
"12/17/2024","104.5955","103.0100","104.7500","101.5500","","0.97%"
"12/16/2024","103.5955","102.0000","104.6250","102.0000","","-0.86%"
"12/13/2024","104.4955","104.4100","104.6000","102.0000","","-0.48%"
"12/12/2024","104.9955","105.0100","106.0100","103.0000","","-0.47%"
"12/11/2024","105.4955","102.0100","108.7500","101.5100","","2.38%"
"12/10/2024","103.0455","100.0100","103.0500","99.7100","","3.05%"
"12/09/2024","99.9955","99.0100","100.6500","98.8000","","-0.55%"
"12/06/2024","100.5455","102.0100","102.0100","98.5100","","-0.45%"
"12/05/2024","100.9955","104.5100","105.0100","97.8500","","-3.81%"
"12/04/2024","104.9955","105.5100","106.0000","103.0000","","0.00%"
"12/03/2024","104.9955","105.5600","107.6000","104.0000","","-1.41%"
"12/02/2024","106.4955","107.3100","108.6000","105.5600","","0.00%"
"11/29/2024","106.4955","108.6100","110.0000","104.5000","","-1.39%"
"11/28/2024","107.9955","110.3100","112.0000","105.7500","","-4.55%"
"11/27/2024","113.1455","105.4100","114.5000","103.3100","","7.25%"
"11/26/2024","105.4955","103.5600","107.9500","102.5000","","1.44%"
"11/25/2024","103.9955","102.2100","104.1500","102.2100","","-0.34%"
"11/22/2024","104.3455","100.5100","104.3500","100.3600","","3.01%"
"11/21/2024","101.2955","100.0000","101.4500","100.0000","","0.70%"
"11/20/2024","100.5955","99.8268","100.7500","99.7500","","0.02%"
"11/19/2024","100.5705","99.8600","101.0750","99.8100","","0.83%"
"11/18/2024","99.7455","99.6600","100.5500","99.5600","","-0.25%"
"11/15/2024","99.9955","99.5100","100.4000","99.0000","","0.50%"
"11/14/2024","99.5000","98.2600","100.7500","97.5000","","1.02%"
"11/13/2024","98.4955","97.7500","98.7000","97.7500","","0.25%"
"11/12/2024","98.2455","97.5600","98.2500","97.5600","","2.34%"
"11/11/2024","95.9955","97.3100","98.7000","95.5000","","-1.64%"
"11/08/2024","97.5955","97.9100","98.2100","96.9000","","-0.41%"
"11/07/2024","97.9955","98.3600","98.3600","96.6000","","0.80%"
"11/06/2024","97.2205","95.0000","100.5000","95.0000","","-0.59%"
"11/05/2024","97.7955","98.3600","98.7250","97.3000","","-0.56%"
"11/04/2024","98.3500","97.4100","99.0500","97.4100","","0.36%"
"11/01/2024","97.9955","97.0600","98.2500","97.0000","","0.64%"
"10/31/2024","97.3705","96.9100","97.3750","96.9100","","0.49%"
"10/30/2024","96.9000","97.1600","98.0000","96.6000","","-0.61%"
"10/29/2024","97.4955","97.1600","98.0000","95.6500","","0.36%"
"10/28/2024","97.1500","96.6600","98.0000","96.6600","","-0.10%"
"10/25/2024","97.2455","96.9500","97.3500","96.3750","","1.04%"
"10/24/2024","96.2455","96.4100","97.1500","95.5000","","0.26%"
"10/23/2024","95.9955","96.4100","96.8750","95.9500","","0.26%"
"10/22/2024","95.7455","96.3100","97.1000","95.7500","","-1.08%"
"10/21/2024","96.7955","96.3100","97.5500","95.7500","","0.10%"
"10/18/2024","96.7000","96.7500","97.2500","95.2500","","0.00%"
"10/17/2024","96.7000","96.7500","97.7000","96.7500","","0.00%"
"10/16/2024","96.7000","96.7500","97.7500","96.7500","","0.00%"
"10/15/2024","96.7000","94.5000","99.1250","94.0000","","1.16%"
"10/14/2024","95.5955","95.6100","96.4500","95.6000","","-0.21%"
"10/11/2024","95.7955","97.2100","97.2100","95.2000","","-0.83%"
"10/10/2024","96.5955","97.1600","97.6000","96.6000","","-0.41%"
"10/09/2024","96.9955","97.0000","100.3000","96.3100","","0.26%"
"10/08/2024","96.7455","96.0600","96.8000","96.0100","","0.57%"
"10/07/2024","96.1955","95.5100","96.5000","95.5100","","1.26%"
"10/04/2024","94.9955","94.5000","96.0000","94.5000","","0.26%"
"10/03/2024","94.7455","94.5100","95.3500","94.4100","","-0.94%"
"10/02/2024","95.6455","95.6650","97.1500","93.6600","","-0.21%"
"10/01/2024","95.8455","92.9100","95.8500","92.7000","","3.06%"
"09/30/2024","92.9955","92.9100","93.6750","92.0000","","-1.40%"
"09/27/2024","94.3205","92.3500","94.3250","92.3500","","1.84%"
"09/26/2024","92.6130","92.0650","92.8250","91.7500","","0.13%"
"09/25/2024","92.4955","92.4300","93.0100","91.2500","","-0.32%"
"09/24/2024","92.7955","92.8100","93.5500","92.5000","","1.45%"
"09/23/2024","91.4705","92.5100","93.3000","91.4750","","-0.95%"
"09/20/2024","92.3455","92.8100","93.1250","92.2500","","0.19%"
"09/19/2024","92.1705","92.1250","93.7000","91.6600","","-1.55%"
"09/18/2024","93.6205","90.9650","93.8500","90.9361","","2.32%"
"09/17/2024","91.4955","90.7150","91.6000","90.4000","","0.11%"
"09/16/2024","91.3955","90.8600","91.5000","90.7500","","1.56%"
"09/13/2024","89.9955","91.1100","91.5000","90.0000","","0.90%"
"09/12/2024","89.1955","91.0100","91.5750","89.2000","","-2.59%"
"09/11/2024","91.5705","90.9600","92.2250","90.5000","","0.63%"
"09/10/2024","90.9955","90.7100","91.6250","90.0000","","0.50%"
"09/09/2024","90.5455","89.7100","91.2750","89.7100","","0.22%"
"09/06/2024","90.3455","89.5000","90.5000","89.1850","","2.38%"
"09/05/2024","88.2455","89.5100","90.7500","88.2500","","0.86%"
"09/04/2024","87.4968","87.8159","90.0100","87.2500","","-0.34%"
"09/03/2024","87.7912","89.5000","90.3000","87.1000","","-2.23%"
"09/02/2024","89.7955","91.8100","91.8100","89.0000","","-0.94%"
"08/30/2024","90.6455","91.5000","92.2500","90.4500","","-1.47%"
"08/29/2024","91.9955","91.4100","92.2500","91.1100","","0.55%"
"08/28/2024","91.4955","91.0100","92.1000","91.0100","","0.00%"
"08/27/2024","91.4955","91.8150","92.3100","90.9500","","-0.54%"
"08/26/2024","91.9955","91.3100","92.5000","91.2100","","0.55%"
"08/23/2024","91.4955","91.3100","91.9100","91.1100","","0.21%"
"08/22/2024","91.3000","91.6100","92.5000","90.6500","","-0.21%"
"08/21/2024","91.4955","91.4100","92.3750","90.8750","","0.38%"
"08/20/2024","91.1455","90.0000","91.9100","89.1250","","1.48%"
"08/19/2024","89.8205","89.0100","90.1500","89.0100","","0.42%"
"08/16/2024","89.4455","89.0100","91.0100","87.7500","","0.65%"
"08/15/2024","88.8705","89.0100","90.5000","88.2500","","-1.03%"
"08/14/2024","89.7955","92.0000","93.0000","88.0000","","-0.77%"
"08/13/2024","90.4955","91.0100","96.4000","90.5000","","-0.55%"
"08/12/2024","90.9955","89.0100","91.8000","88.4500","","2.71%"
"08/09/2024","88.5955","86.7100","89.0100","86.7100","","2.19%"
"08/08/2024","86.7000","86.2100","87.2488","85.8500","","1.08%"
"08/07/2024","85.7705","85.2500","86.2500","84.7500","","0.12%"
"08/06/2024","85.6705","85.5650","85.8600","84.5100","","0.94%"
"08/05/2024","84.8705","85.6600","87.0000","84.6100","","-0.73%"
"08/02/2024","85.4955","85.9600","85.9600","85.3500","","0.00%"
"08/01/2024","85.4955","86.1600","86.3500","85.2000","","-0.76%"
"07/31/2024","86.1500","86.2100","86.5750","85.0000","","0.47%"
"07/30/2024","85.7455","86.4100","86.7000","85.7500","","-0.75%"
"07/29/2024","86.3955","86.0100","87.0000","85.3500","","0.35%"
"07/26/2024","86.0955","85.0000","87.3600","85.0000","","1.29%"
"07/25/2024","84.9955","87.0675","87.0675","84.8500","","-1.44%"
"07/24/2024","86.2405","87.2100","87.8000","86.1950","","-1.83%"
"07/23/2024","87.8455","87.9100","88.3000","85.9250","","0.00%"
"07/22/2024","87.8455","87.9100","88.5000","87.3250","","0.17%"
"07/19/2024","87.6955","88.4000","88.4000","87.0500","","-0.79%"
"07/18/2024","88.3955","88.5000","88.5000","87.5100","","-0.11%"
"07/17/2024","88.4955","88.5000","88.6000","87.9100","","0.11%"
"07/16/2024","88.3955","88.0575","88.9250","87.4100","","0.06%"
"07/15/2024","88.3455","87.3600","88.6000","87.2100","","0.54%"
"07/12/2024","87.8705","87.0000","88.1500","87.0000","","1.01%"
"07/11/2024","86.9955","87.5100","88.5750","87.0000","","-1.53%"
"07/10/2024","88.3455","87.5000","89.0000","87.3100","","2.14%"
"07/09/2024","86.4955","87.2500","88.5000","86.5000","","-0.14%"
"07/08/2024","86.6205","88.3750","90.0250","86.6250","","-1.56%"
"07/05/2024","87.9955","88.0100","88.6750","87.7100","","-1.12%"
"07/04/2024","88.9955","88.5000","89.1000","87.0100","","1.31%"
"07/03/2024","87.8455","87.8500","88.4750","86.5800","","0.00%"
"07/02/2024","87.8455","86.9100","88.7500","86.3500","","1.27%"
"07/01/2024","86.7455","84.9100","87.5500","84.9100","","1.17%"
"06/28/2024","85.7455","85.0000","88.2500","84.8100","","0.88%"
"06/27/2024","84.9955","88.2500","89.9293","82.0623","","-3.68%"
"06/26/2024","88.2455","87.5000","90.2003","84.4897","","0.00%"
"06/25/2024","88.2455","87.3100","90.1978","83.8915","","0.28%"
"06/24/2024","87.9955","87.1100","92.2943","84.4185","","-1.21%"
"06/21/2024","89.0705","87.3750","95.3500","83.8725","","2.09%"
"06/20/2024","87.2455","83.1250","90.1228","82.1390","","5.58%"
"06/19/2024","82.6340","85.7500","88.4970","81.3545","","-3.21%"
"06/18/2024","85.3705","88.7200","90.9728","84.2618","","-3.78%"
"06/17/2024","88.7205","89.1100","92.1863","86.6042","","-0.99%"
"06/14/2024","89.6118","88.5100","91.4583","86.7780","","1.98%"
"06/13/2024","87.8705","89.3750","91.9978","86.6408","","-1.26%"
